query_type,n_queries,map_RRF_minus_BM25,map_bm25,map_rrf,mrr_RRF_minus_BM25,mrr_bm25,mrr_rrf,ndcg@10_RRF_minus_BM25,ndcg@10_bm25,ndcg@10_rrf,precision@1_RRF_minus_BM25,precision@1_bm25,precision@1_rrf,recall@10_RRF_minus_BM25,recall@10_bm25,recall@10_rrf,recall@20_RRF_minus_BM25,recall@20_bm25,recall@20_rrf
1,50,0.9671,0.0,0.9671,0.9671,0.0,0.9671,,,,0.96,0.0,0.96,,,,,,
2,50,-0.2192,0.8782,0.659,-0.2192,0.8782,0.659,,,,-0.22,0.82,0.6,,,,,,
3,14,-0.1066,0.4378,0.3312,,,,-0.094,0.4335,0.3395,,,,-0.0639,0.3235,0.2596,,,
4,14,0.1518,0.3827,0.5345,,,,0.188,0.3893,0.5773,,,,0.1108,0.4828,0.5936,,,
5,50,0.0333,0.6606,0.6939,,,,,,,,,,0.0267,0.2708,0.2975,0.0228,0.5139,0.5367
6,50,0.0222,0.0053,0.0275,,,,,,,,,,0.0012,0.0006,0.0018,0.002,0.0019,0.0039
