query_id,query_type,precision@1,mrr,map,ndcg@10,recall@10,recall@20
Q5_007,5,,,0.9327,,0.2571,0.5143
Q5_008,5,,,1.0,,0.2857,0.5714
Q5_009,5,,,1.0,,0.303,0.6061
Q5_010,5,,,0.0,,0.0,0.0
Q5_011,5,,,0.0,,0.0,0.0
Q5_012,5,,,0.7012,,0.2258,0.4839
Q5_013,5,,,0.8482,,0.2903,0.5484
Q5_014,5,,,0.9616,,0.3226,0.6129
Q5_015,5,,,0.0,,0.0,0.0
Q5_016,5,,,0.8471,,0.3,0.5333
Q5_017,5,,,0.0,,0.0,0.0
Q5_018,5,,,0.0,,0.0,0.0
Q5_019,5,,,0.0292,,0.0,0.0
Q5_020,5,,,0.0,,0.0,0.0
Q5_021,5,,,0.7556,,0.2692,0.5385
Q5_022,5,,,0.792,,0.4,0.64
Q5_023,5,,,0.9812,,0.4,0.76
Q5_024,5,,,0.949,,0.4,0.72
Q5_025,5,,,1.0,,0.4,0.8
Q5_026,5,,,0.8643,,0.375,0.625
Q5_027,5,,,0.8108,,0.2917,0.7083
Q5_028,5,,,0.7762,,0.3636,0.6818
Q5_029,5,,,0.8012,,0.3636,0.7273
Q5_030,5,,,0.0,,0.0,0.0
Q5_031,5,,,0.0,,0.0,0.0
Q5_032,5,,,0.0,,0.0,0.0
Q5_033,5,,,0.9409,,0.4286,0.9048
Q5_034,5,,,0.0,,0.0,0.0
Q5_035,5,,,0.0728,,0.0,0.0
Q5_036,5,,,0.829,,0.5263,0.7368
Q5_037,5,,,0.4385,,0.1579,0.5263
Q5_038,5,,,0.4947,,0.3158,0.4211
Q5_039,5,,,1.0,,0.5263,1.0
Q5_040,5,,,1.0,,0.5556,1.0
Q5_041,5,,,1.0,,0.5882,1.0
Q5_042,5,,,1.0,,0.5882,1.0
Q5_043,5,,,0.0,,0.0,0.0
Q5_044,5,,,1.0,,0.625,1.0
Q5_045,5,,,0.3392,,0.25,0.4375
Q5_046,5,,,1.0,,0.625,1.0
Q5_047,5,,,0.9407,,0.5625,1.0
Q5_048,5,,,0.9174,,0.5625,1.0
Q5_049,5,,,1.0,,0.625,1.0
Q5_050,5,,,1.0,,0.6667,1.0
Q6_001,6,,,0.0,,0.0,0.0
Q6_002,6,,,0.0,,0.0001,0.0001
Q6_003,6,,,0.0,,0.0,0.0
Q6_004,6,,,0.0,,0.0,0.0
Q6_005,6,,,0.0,,0.0,0.0
Q6_006,6,,,0.0,,0.0,0.0
Q6_007,6,,,0.0,,0.0,0.0
Q6_008,6,,,0.0,,0.0,0.0
Q6_009,6,,,0.0001,,0.0,0.0011
Q6_010,6,,,0.0,,0.0,0.0
Q6_011,6,,,0.0,,0.0,0.0
Q6_012,6,,,0.0,,0.0,0.0
Q6_013,6,,,0.0,,0.0,0.0
Q6_014,6,,,0.0,,0.0,0.0
Q6_015,6,,,0.0,,0.0,0.0
Q6_016,6,,,0.0,,0.0,0.0
Q6_017,6,,,0.0,,0.0,0.0
Q6_018,6,,,0.0,,0.0,0.0
