query_type,n_queries,map_RRF_minus_BM25,map_bm25,map_rrf,mrr_RRF_minus_BM25,mrr_bm25,mrr_rrf,ndcg@10_RRF_minus_BM25,ndcg@10_bm25,ndcg@10_rrf,precision@1_RRF_minus_BM25,precision@1_bm25,precision@1_rrf,recall@10_RRF_minus_BM25,recall@10_bm25,recall@10_rrf,recall@20_RRF_minus_BM25,recall@20_bm25,recall@20_rrf
1,50,0.0002,0.0,0.0002,0.0002,0.0,0.0002,,,,0.0,0.0,0.0,,,,,,
2,50,-0.1323,0.8782,0.7459,-0.1323,0.8782,0.7459,,,,-0.14,0.82,0.68,,,,,,
3,14,-0.1775,0.4378,0.2603,,,,-0.1863,0.4335,0.2472,,,,-0.1643,0.3235,0.1592,,,
4,14,0.1567,0.3827,0.5394,,,,0.1969,0.3893,0.5862,,,,0.1287,0.4828,0.6115,,,
5,50,-0.0261,0.6606,0.6345,,,,,,,,,,0.0009,0.2708,0.2717,-0.0113,0.5139,0.5026
6,50,0.0225,0.0053,0.0278,,,,,,,,,,0.0033,0.0006,0.0039,0.0052,0.0019,0.0071
